"","species","weight"
"520","onar",26
"521","dime",47
"522","dime",42
"523","dime",37
"524","dime",48
"525","dime",42
"526","dime",46
"527","disp",84
"528","dime",43
"529","dime",45
"530","dime",43
"531","pgfv",7
"532","disp",72
"533","pmer",21
"534","onar",15
"535","dime",35
"536","dime",48
"537","onar",12
"538","dime",48
"539","dime",37
"540","dime",40
"541","dime",45
"542","dime",37
"543","pgfv",8
"544","onar",25
"545","dime",39
"546","dime",44
"547","onar",23
"548","remn",9
"549","dime",39
"550","neal",92
"551","pgfv",4
"552","disp",118
"553","pgfv",8
"554","dime",44
"555","dime",34
"556","dime",32
"557","dime",38
"558","pgfv",9
"559","dime",33
"560","dime",42
"561","dime",49
"562","spsp",113
"563","pgfv",6
"564","dime",44
"565","dime",45
"566","dime",31
"567","dime",44
"568","dime",46
"569","onar",20
"570","dime",40
"571","onar",26
"572","dime",134
"573","remn",8.5
"574","dime",38
"575","dime",44
"576","onar",14
"577","dime",43
"578","remg",10
"579","dime",20
"580","dime",45
"581","dime",45
"582","pgfv",8
"583","dime",47.5
"584","dime",41
"585","dime",34
"586","dime",43
"587","pgfv",7
"588","pgfv",6
"589","pmer",22
"590","dime",36
"591","dime",52
"592","disp",100
"593","dime",30
"594","disp",118
"595","pgfv",9
"596","pmer",19
"597","pmer",22
"598","dime",41
"599","pmer",23
"600","dime",40
"601","dime",43
"602","pgfv",5
"603","dime",45
"604","dime",45
"605","dime",33
"606","pmer",19
"607","dime",40
"608","dime",34
"609","dime",39
"610","dime",49
"611","disp",108
"612","pgfv",7
"613","pmer",20
"614","pmle",26
"615","dime",40
"616","dime",45
"617","pmer",22
"618","dime",45
"619","disp",104
"620","dime",34
"621","pgfv",9
"622","dime",42
"623","dime",40
"624","pgfv",9
"625","dime",45
"626","dime",47
"627","pgfv",8
"628","pgfv",7
"629","dime",30
"630","pgfv",7
"631","dime",40
"632","dime",46
"633","disp",138
"634","pgfv",9
"635","disp",110
"636","dime",43
"637","dime",40
"638","dime",38
"639","dime",40
"640","dime",35
"641","dime",41
"642","disp",122
"643","dime",47
"644","dime",43
"645","dime",46
"646","disp",97
"647","dime",41
"648","dime",41
"649","dime",38
"650","pgfv",7
"651","dime",40
"652","dime",44
"653","dime",42
"654","pgfv",7
"655","dime",33
"656","pgfv",7
"657","neal",166
"658","pgfv",6
"659","dime",42
"660","dime",41
"661","dime",40
"662","dime",48
"663","dime",42
"664","onar",21
"665","dime",37
"666","pmer",20
"667","dime",39
"668","pgfv",6
"669","pgfv",7
"670","pmer",25
"671","disp",106
"672","onar",27
"673","pmer",11
"674","pmer",11.9
"675","pgfv",6
"676","pmer",18
"677","pmer",21
"678","dime",32
"679","dime",42
"680","dime",39
"681","dime",46
"682","dime",48
"683","chin",12
"684","dime",30
"685","dime",44
"686","dime",36
"687","onar",19
"688","dime",39
"689","dime",33
"690","dime",39
"691","dime",27
"692","pgfv",7.5
"693","dime",45
"694","pmer",15
"695","pgfv",6
"696","pmer",10.5
"697","dime",40
"698","pmer",17
"699","disp",102
"700","dime",43
"701","pmer",21
"702","pmer",19
"703","dime",47
"704","dime",40
"705","dime",30
"706","dime",26
"707","dime",39
"708","dime",23
"709","dime",33
"710","dime",35
"711","dime",40
"712","disp",78
"713","onar",25
"714","neal",73
"715","dime",44
"716","dime",48
"717","dime",40
"718","onar",25
"719","dime",46
"720","dime",49
"721","disp",118
"722","pmer",22
"723","dime",44
"724","dime",41
"725","disp",80
"726","dime",38
"727","dime",45
"728","dime",56
"729","dime",50
"730","dime",44
"731","dime",47
"732","dime",40
"733","disp",90
"734","dime",44
"735","dime",29
"736","disp",108
"737","disp",130
"738","dime",45
"739","dime",43
"740","dime",45
"741","dime",46
"742","dime",43
"743","dime",41
"744","dime",47
"745","dime",36
"746","disp",121
"747","disp",120
"748","disp",140
"749","dime",45
"750","pmer",20
"751","onar",23
"752","dime",46
"753","disp",120
"754","dime",43
"755","dime",48
"756","dime",45
"757","disp",140
"758","dime",36
"759","dime",44
"760","dime",43
"761","dime",43
"762","dime",44
"763","dime",41
"764","dime",39
"765","dime",19
"766","dime",40
"767","dime",41
"768","disp",120
"769","dime",46
"770","dime",43
"771","disp",119
"772","dime",34
"773","pmle",17
"774","dime",49
"775","dime",45
"776","pmle",19
"777","pmle",19
"778","dime",43
"779","disp",90
"780","dime",47
"781","disp",104
"782","onar",21
"783","dime",48
"784","onar",22
"785","nemi",106
"786","disp",110
"787","disp",80
"788","dime",20
"789","pmle",20
"790","chin",11
"791","pmer",20
"792","dime",43
"793","remg",9
"794","disp",112
"795","dime",47
"796","onar",23
"797","dime",37
"798","onar",22
"799","pgfv",7
"800","remg",11
"801","dime",40
"802","spsp",98
"803","dime",18
"804","onar",16
"805","dime",39
"806","dime",45
"807","dime",42
"808","dime",46
"809","dime",40
"810","disp",126
"811","pgfv",8
"812","pmle",13
"813","dime",41
"814","chin",14
"815","chin",13
"816","dime",44
"817","dime",55
"818","pmle",13
"819","chin",13
"820","dime",45
"821","dime",46
"822","dime",45
"823","dime",46
"824","neal",94
"825","dime",41
"826","dime",53
"827","dime",42
"828","neal",116
"829","dime",35
"830","pgfv",7
"831","disp",110
"832","disp",120
"833","dime",37
"834","pgfv",8
"835","dime",47
"836","dime",47
"837","disp",110
"838","dime",42
"839","dime",49
"840","dime",37
"841","dime",26
"842","pgfv",8
"843","dime",44
"844","dime",45
"845","pmle",24
"846","dime",50
"847","pgfv",8
"848","nemi",180
"849","dime",45
"850","disp",140
"851","dime",47
"852","dime",39
"853","dime",47
"854","disp",85
"855","dime",39
"856","dime",48
"857","dime",45
"858","dime",41
"859","disp",140
"860","dime",29
"861","dime",49
"862","dime",28
