"","species","weight"
"529","chin",16
"530","neal",132
"531","dime",24
"532","dime",48
"533","dime",29
"534","pgfv",8
"535","pmtr",28
"536","eudo",49
"537","dime",45
"538","neal",96
"539","dime",39
"540","pmle",31
"541","pmle",11
"542","dime",29
"543","dime",53
"544","dime",48
"545","dime",36
"546","pmle",12
"547","pmtr",25
"548","pmtr",24
"549","dime",57
"550","pmle",28
"551","dime",49
"552","dime",27
"553","pmtr",23
"554","pmle",13
"555","dime",48
"556","pmtr",28
"557","dime",42
"558","dime",39
"559","neal",110
"560","pmtr",23
"561","pmtr",30
"562","dime",26
"563","chin",8
"564","dime",25
"565","eudo",45
"566","pmle",24
"567","eudo",50
"568","chin",9
"569","chin",15
"570","chin",15
"571","chin",9
"572","neal",218
"573","pgfv",8
"574","dime",20
"575","chin",15
"576","chin",10
"577","pmbo",21
"578","chin",16
"579","chin",10
"580","pmle",24
"581","pgfv",8
"582","eudo",66
"583","eudo",53
"584","neal",178
"585","chin",14
"586","neal",96
"587","chin",15
"588","pmbo",22
"589","chin",15
"590","dime",48
"591","pmtr",24
"592","pmle",15
"593","dime",31
"594","chin",12
"595","pgfv",6
"596","pmle",16
"597","pmle",13
"598","pmle",10
"599","pmle",10
"600","nemi",108
"601","pmtr",25
"602","dime",22
"603","pmtr",24
"604","dime",48
"605","pmle",12
"606","dime",26
"607","dime",44
"608","pmbo",13
"609","pmtr",20
"610","pmle",13
"611","neal",148
"612","pmtr",22
"613","pmle",26
"614","dime",36
"615","onar",23
"616","amle",120
"617","nemi",190
"618","chin",13
"619","pmle",23
"620","pmtr",27
"621","chin",11
"622","pmle",23
"623","pmle",23
"624","chin",14
"625","dime",45
"626","pgfv",6
"627","pmtr",19
"628","pmtr",18
"629","pmle",17
"630","neal",138
"631","pmbo",20
"632","neal",81
"633","pmle",32
"634","dime",46
"635","eudo",54
"636","eudo",63
"637","dime",38
"638","pmle",25
"639","dime",42
"640","chin",11
"641","dime",49
"642","pmtr",25
"643","dime",44
"644","dime",38
"645","dime",30
"646","pmle",24
"647","dime",36
"648","chin",22
"649","dime",50
"650","chin",18
"651","chin",12
"652","neal",136
"653","dime",48
"654","dime",44
"655","chin",13
"656","chin",18
"657","pgfv",7
"658","dime",36
"659","dime",41
"660","chin",11
"661","chin",18
"662","chin",15
"663","pmle",24
"664","pmbo",22
"665","pmtr",25
"666","neal",124
"667","chin",13
"668","dime",34
"669","pmtr",47
"670","neal",160
"671","pmtr",17
"672","neal",155
"673","chin",14
"674","neal",90
"675","chin",15
"676","chin",16
"677","dime",35
"678","pgfv",8
"679","pmtr",23
"680","dime",38
"681","dime",50
"682","dime",24
"683","chin",14
"684","neal",108
"685","dime",50
"686","dime",39
"687","pmtr",19
"688","dime",52
"689","dime",43
"690","dime",40
"691","pmtr",25
"692","dime",49
"693","dime",49
"694","dime",50
"695","pmtr",20
"696","pmbo",28
"697","dime",44
"698","dime",35
"699","pmtr",24
"700","neal",100
"701","pmtr",19
"702","neal",230
"703","neal",187
"704","onar",12
"705","pmtr",22
"706","pmtr",23
"707","chin",15
"708","neal",108
"709","dime",45
"710","dime",40
"711","chin",17
"712","dime",46
"713","dime",35
"714","dime",46
"715","chin",12
"716","pmtr",20
"717","chin",13
"718","dime",38
"719","chin",14
"720","chin",18
"721","dime",39
"722","dime",40
"723","dime",43
"724","dime",47
"725","dime",44
"726","dime",42
"727","dime",39
"728","dime",44
"729","dime",42
"730","chin",16
"731","chin",15
"732","onar",24
"733","dime",48
"734","chin",15
"735","chin",14
"736","neal",151
"737","dime",46
"738","chin",16
"739","pmtr",21
"740","pmbo",23
"741","neal",200
"742","pmtr",17
"743","chin",12
"744","chin",14
"745","chin",16
"746","chin",17
"747","pmtr",19
"748","pmtr",23
"749","pmtr",24
"750","pgfv",6
"751","pgfv",10
"752","dime",47
"753","pgfv",7
"754","pgfv",9
"755","pmtr",16
"756","dime",39
"757","pmtr",28
"758","dime",44
"759","pmtr",28
"760","neal",149
"761","onar",17
"762","dime",37
"763","dime",43
"764","chin",17
"765","dime",44
"766","chin",18
"767","nemi",152
"768","dime",31
"769","nemi",120
"770","dime",48
"771","neal",131
"772","dime",52
"773","dime",47
"774","chin",15
"775","chin",17
"776","dime",39
"777","dime",47
"778","chin",13
"779","dime",26
"780","dime",43
"781","neal",164
"782","dime",45
"783","dime",38
"784","neal",132
"785","dime",48
"786","dime",48
"787","dime",46
"788","dime",40
"789","dime",40
"790","dime",47
"791","dime",36
"792","dime",44
"793","dime",27
"794","chin",11
"795","dime",39
"796","pgfv",9
"797","pgfv",9
"798","dime",38
"799","pmtr",25
"800","onle",27
"801","neal",193
"802","neal",90
"803","chin",13
"804","neal",158
"805","dime",46
"806","neal",142
"807","pgfv",8
"808","pgfv",6
"809","chin",17
"810","pgfv",7
"811","pgfv",12
"812","dime",43
"813","pmtr",42
"814","neal",160
"815","neal",110
"816","chin",7
"817","pgfv",8
"818","pgfv",7
"819","neal",34
"820","pgfv",8
"821","pgfv",5
"822","dime",30
"823","dime",43
"824","pmtr",20
"825","dime",42
"826","chin",13
"827","chin",14
"828","dime",40
"829","eudo",70
"830","neal",110
"831","dime",46
"832","dime",48
"833","dime",47
"834","chin",16
"835","neal",187
"836","neal",161
"837","neal",151
"838","chin",18
"839","pmle",9
"840","dime",45
"841","dime",47
"842","dime",64
"843","pgfv",9
"844","dime",43
"845","chin",14
"846","dime",25
"847","chin",12
"848","neal",166
"849","chin",14
"850","neal",178
"851","neal",168
"852","chin",13
"853","dime",49
"854","pgfv",5.5
"855","pgfv",6
"856","eudo",61
"857","pmdi",25
"858","dime",42
"859","dime",46
"860","dime",45
"861","pgfv",6.5
"862","dime",40
"863","dime",45
"864","dime",36
"865","dime",46
"866","dime",41
"867","dime",22
"868","dime",46
"869","pmma",29
"870","dime",39
"871","eudo",56
"872","chin",12
"873","pmdi",23
"874","neal",232
"875","neal",190
"876","neal",48
"877","neal",232
"878","dime",46
"879","dime",49
"880","pmtr",35
"881","chin",16
"882","neal",84
"883","chin",18
"884","dime",34
"885","neal",193
"886","neal",193
"887","pmbo",21
"888","pmle",24
"889","neal",118
"890","chin",11
"891","pgfv",8
"892","pmbo",23
"893","dime",41
"894","chin",15
"895","neal",66
"896","neal",166
"897","chin",13
"898","dime",50
"899","dime",47
"900","dime",38
"901","dime",37.5
"902","dime",45
"903","dime",39
"904","dime",22
"905","dime",43
"906","dime",29
"907","dime",49
"908","neal",162
"909","chin",12
"910","dime",38
"911","neal",163
"912","neal",184
"913","dime",38
"914","neal",49
"915","dime",29
"916","chin",17
"917","neal",184
"918","neal",171
"919","neal",168
"920","neal",48
"921","neal",196
"922","neal",106
"923","neal",167
"924","pgfv",6
"925","pmtr",15
"926","chin",11
"927","neal",213
"928","neal",216
"929","dime",45
"930","dime",38
"931","dime",45
"932","dime",39
"933","neal",97
"934","neal",167
"935","dime",21
"936","dime",35
"937","dime",43.5
"938","dime",42
"939","dime",38
"940","dime",44
"941","dime",43
"942","dime",44
"943","dime",36
"944","dime",50
"945","neal",82
"946","neal",106
"947","dime",40
"948","dime",42
"949","dime",47
"950","neal",120
"951","dime",43
"952","dime",44
"953","chin",14
"954","dime",48
"955","dime",47
"956","dime",47
"957","chin",18
"958","dime",40
"959","dime",36
"960","pgfv",6
"961","dime",46
"962","dime",35
"963","dime",49
"964","pgfv",8
"965","dime",29
"966","dime",50
"967","pgfv",6
"968","dime",42
"969","dime",46
"970","dime",42
"971","dime",48
"972","neal",118
"973","chin",7
"974","pgfv",7
"975","chin",7
"976","dime",23
"977","dime",26
"978","pgfv",8
"979","dior",45
"980","dime",51
"981","neal",15
"982","neal",100
"983","pgfv",7
"984","pgfv",6
"985","dime",25
"986","dime",40
"987","dime",44
"988","dime",40
"989","dime",43
"990","dime",36
"991","dime",43
"992","chin",16
"993","dime",39
"994","dime",52
"995","neal",122
"996","dime",49
"997","chin",13
"998","dime",36
"999","dior",48
"1000","dior",48
"1001","dime",50
"1002","dior",41
"1003","dime",44
"1004","dime",36
"1005","eudo",64
"1006","dime",40
"1007","neal",134
"1008","pmtr",22
"1009","chin",13
"1010","dime",37
"1011","dime",44
"1012","chin",12
"1013","dime",41
"1014","dime",39
"1015","dime",44
"1016","pmtr",18
"1017","dime",38
"1018","dime",39
"1019","dime",39
"1020","neal",130
"1021","amle",130
"1022","chin",13
"1023","dime",41
"1024","neal",188
"1025","neal",94
"1026","dime",37
"1027","chin",14
"1028","chin",14
"1029","neal",154
"1030","neal",43
"1031","pmbo",20
"1032","pgfv",7
"1033","pgfv",7
"1034","eudo",56
"1035","pmbo",18
"1036","pgfv",7
"1037","pgfv",7
"1038","eudo",58
"1039","neal",170
"1040","chin",7
"1041","dime",26
"1042","dime",42
"1043","dime",46
"1044","dime",43
"1045","dime",41
"1046","chin",18
"1047","dime",46
"1048","dime",34
"1049","dime",49
"1050","dime",28
"1051","dime",37
"1052","dime",43
"1053","dior",47
"1054","neal",102
"1055","dime",42
"1056","dime",40
"1057","pgfv",7
"1058","dime",45
"1059","dime",43
"1060","dime",41
"1061","dime",44
"1062","dior",43
"1063","dior",32
"1064","dime",37
"1065","pmtr",22
"1066","dime",41
"1067","chin",9
"1068","chin",15
"1069","chin",16
"1070","chin",15
"1071","pgfv",7
"1072","dime",46
"1073","chin",15
"1074","dime",44
"1075","neal",104
"1076","chin",13
"1077","dime",44
"1078","dime",53
"1079","dime",36
"1080","dime",35
"1081","chin",14
"1082","dime",42
"1083","dime",44
"1084","dime",45
"1085","dime",54
"1086","dime",38
"1087","pgfv",7
"1088","dime",49
"1089","pgfv",6
"1090","pgfl",8
"1091","dime",44
"1092","dime",49
"1093","dior",52
"1094","chin",13
"1095","chin",16
"1096","pgfv",6
"1097","pmbo",20
"1098","eudo",50
"1099","pgfl",7
"1100","neal",118
"1101","chin",14
"1102","chin",15
"1103","chin",13
"1104","dime",47
"1105","chin",14
"1106","dime",51
"1107","dime",42
"1108","chin",17
"1109","dime",43
"1110","chin",16
"1111","dime",45
"1112","dime",50
"1113","pgfv",7
"1114","chin",14
"1115","pgfv",16
"1116","chin",16
"1117","chin",14
"1118","pgfv",9
"1119","chin",12
"1120","dime",39
"1121","pgfv",8
"1122","pgfv",6
"1123","pgfv",8
"1124","dime",51
"1125","dime",50
"1126","chin",15
"1127","dime",50
"1128","dime",49
"1129","pgfv",7
"1130","dime",49
"1131","dime",49
"1132","chin",18
"1133","pgfv",7
"1134","dime",42
"1135","chin",18
"1136","pgfv",8
"1137","pgfv",8
"1138","pgfv",7
"1139","dime",44
"1140","dime",45
"1141","pgfv",7
"1142","dime",47
"1143","dime",36
