"","species","weight"
"600","onar",29
"601","pgfl",14
"602","pgfv",7
"603","dime",44
"604","pgfv",8
"605","dior",50
"606","dime",46
"607","neal",194
"608","pgfl",15
"609","disp",136
"610","dime",36
"611","dime",41
"612","pgfl",16
"613","pgfl",16
"614","neal",134
"615","neal",240
"616","dior",54
"617","dior",59
"618","spsp",96
"619","spsp",112
"620","neal",182
"621","dime",38
"622","dime",40
"623","dime",45
"624","dime",41
"625","dior",59
"626","neal",194
"627","dior",46
"628","pgfl",14
"629","dior",50
"630","dior",50
"631","neal",190
"632","dior",51
"633","dior",50
"634","dime",30
"635","dime",44
"636","pgfl",10
"637","dime",41
"638","dior",47
"639","pgfl",16
"640","pgfl",15
"641","onar",39
"642","neal",90
"643","dior",46
"644","dior",49
"645","onar",40
"646","dime",47
"647","neal",166
"648","dior",59
"649","pgfl",14
"650","dior",50
"651","dior",52
"652","pgfv",7
"653","dior",56
"654","neal",96
"655","dior",61
"656","dior",54
"657","pgfl",13
"658","pgfl",12
"659","dior",54
"660","neal",188
"661","dime",48
"662","dior",61
"663","dior",52
"664","pgfl",13
"665","dime",32
"666","dior",65
"667","pgfl",10
"668","onar",31
"669","dior",49
"670","dior",40
"671","pgfl",14
"672","dior",50
"673","dior",36
"674","dime",45
"675","pgfl",15
"676","dior",49
"677","pgfl",13
"678","dime",30
"679","dime",44
"680","pmle",33
"681","dior",59
"682","dior",28
"683","neal",182
"684","pgfl",12
"685","spsp",118
"686","pgfl",17
"687","pgfv",13
"688","spsp",132
"689","dime",36
"690","onar",40
"691","pgfv",7
"692","dior",33
"693","dior",55
"694","onar",39
"695","dime",35
"696","onar",36
"697","dior",73
"698","pmle",31
"699","dior",56
"700","pgfl",17
"701","onar",34
"702","onar",36
"703","onar",39
"704","onar",38
"705","onar",39
"706","dior",59
"707","remg",11
"708","onar",40
"709","pgfl",16
"710","disp",120
"711","pgfv",9
"712","pgfl",18
"713","dior",60
"714","dior",40
"715","neal",85
"716","remg",17
"717","onar",39
"718","onar",44
"719","dior",60
"720","dior",72
"721","neal",100
"722","spsp",110
"723","pgfl",15
"724","dime",15
"725","remg",14
"726","pgfl",13
"727","dior",62
"728","dime",42
"729","pgfl",15
"730","dior",65
"731","pgfl",15
"732","onar",23
"733","dior",49
"734","remg",13
"735","dior",32
"736","dior",62
"737","pgfl",14
"738","pgfl",15
"739","spsp",152
"740","dime",35
"741","dior",63
"742","pgfl",14
"743","onar",36
"744","pgfl",14
"745","dior",55
"746","pgfl",9
"747","onar",58
"748","pgfl",17
"749","dior",48
"750","dior",37
"751","dior",51
"752","pgfl",14
"753","pgfl",13
"754","pgfl",12
"755","disp",132
"756","dior",48
"757","pmle",28
"758","pmle",24
"759","pmle",20
"760","pgfv",7
"761","onar",21
"762","dior",47
"763","pmtr",19
"764","onar",40
"765","dime",39
"766","dime",44
"767","dime",50
"768","onle",30
"769","dior",50
"770","dior",55
"771","pmle",26
"772","dior",55
"773","onle",38
"774","dior",49
"775","spsp",97
"776","onar",22
"777","dior",58
"778","neal",116
"779","dime",45
"780","onar",32
"781","pmle",20
"782","dior",59
"783","dior",38
"784","dior",55
"785","dior",60
"786","dime",39
"787","dior",48
"788","dior",52
"789","dior",47
"790","dime",30
"791","dime",47
"792","dime",41
"793","dime",43
"794","neal",130
"795","dime",44
"796","neal",94
"797","neal",58
"798","onar",34
"799","neal",154
"800","neal",110
"801","dior",43
"802","pmle",20
"803","dior",54
"804","neal",104
"805","dior",43
"806","neal",226
"807","dior",50
"808","pgfl",11
"809","dior",48
"810","dior",47
"811","pmle",25
"812","dior",49
"813","neal",134
"814","dime",42
"815","dime",47
"816","dior",36
"817","dior",53
"818","pmle",22
"819","dior",47
"820","dime",44
"821","pmer",18
"822","neal",170
"823","dime",53
"824","dime",45
"825","dior",50
"826","dior",48
"827","onar",32
"828","dior",48
"829","dime",48
"830","dior",50
"831","neal",160
"832","onar",29
"833","dior",43
"834","neal",160
"835","neal",222
"836","dior",55
"837","neal",169
"838","pmle",24
"839","onar",47
"840","neal",160
"841","dior",50
"842","neal",164
"843","pmle",23
"844","dior",49
"845","dior",45
"846","neal",183
"847","remg",9
"848","dior",50
"849","onar",29
"850","dior",43
"851","onar",30
"852","onar",34
"853","neal",110
"854","dior",49
"855","dior",44
"856","dior",48
"857","dime",36
"858","neal",140
"859","dior",55
"860","dior",49
"861","onle",26
"862","dime",45
"863","dior",48
"864","dior",50
"865","dime",46
"866","dior",49
"867","neal",180
"868","dior",54
"869","onar",39
"870","remg",11
"871","dime",39
"872","pmle",17
"873","dime",44
"874","onle",25
"875","neal",88
"876","dime",47
"877","onar",54
"878","onar",30
"879","neal",190
"880","dior",45
"881","neal",144
"882","dior",50
"883","dior",48
"884","onar",38
"885","dior",46
"886","dior",50
"887","pmle",21
"888","pmle",23
"889","dior",48
"890","pmle",23
"891","onar",29
"892","neal",180
"893","pmle",24
"894","pmle",11
"895","dior",49
"896","pgfv",7
"897","pmtr",21
"898","neal",210
"899","pmle",24
"900","dior",55
"901","pgfv",5
"902","neal",102
"903","disp",110
"904","dime",38
"905","neal",185
"906","pmtr",28
"907","pgfl",13
"908","neal",160
"909","dime",38
"910","neal",200
"911","onar",23
"912","pmle",22
"913","onar",23
"914","pmle",28
"915","pgfl",12
"916","dior",40
"917","neal",98
"918","remg",12
"919","pgfl",11
"920","dior",49
"921","dior",44
"922","pgfl",10
"923","dior",48
"924","neal",140
"925","onar",14
"926","dior",55
"927","neal",158
"928","dior",48
"929","neal",98
"930","onle",42
"931","pgfl",11
"932","neal",80
"933","onar",11
"934","neal",90
"935","onle",24
"936","pgfl",16
"937","onar",26
"938","dior",48
"939","dior",41
"940","neal",188
"941","dior",47
"942","dior",45
"943","dior",53
"944","neal",200
"945","dior",52
"946","pmtr",20
"947","pmle",23
"948","neal",100
"949","pmtr",22
"950","neal",110
"951","dior",45
"952","dior",49
"953","onar",26
"954","dior",50
"955","onar",29
"956","pgfl",10
"957","neal",86
"958","pgfv",6
"959","onar",34
"960","neal",176
"961","pmle",26
"962","pgfv",8
"963","dior",44
"964","remg",10
"965","onar",10
"966","dime",12
"967","dior",45
"968","onle",28
"969","dior",44
"970","pmle",20
"971","dior",48
"972","pgfv",5
"973","pgfv",12
"974","pmle",24
"975","pgfv",5
"976","dior",55
"977","onar",26
"978","onar",22
"979","neal",90
"980","pmle",25
"981","dior",50
"982","pmle",23
"983","onle",29
"984","dior",52
"985","onar",28
"986","onar",27
"987","pmle",23
"988","neal",241
"989","onle",32
"990","pmle",23
"991","pgfl",12
"992","neal",70
"993","dior",50
"994","onle",40
"995","onar",26
"996","pgfl",10
"997","remg",11
"998","dior",49
"999","onar",55
"1000","neal",119
"1001","neal",120
"1002","dior",49
"1003","neal",230
"1004","neal",241
"1005","neal",150
"1006","neal",100
"1007","neal",51
"1008","dior",44
"1009","pgfv",7
"1010","dior",50
"1011","dime",44
"1012","pmtr",23
"1013","remg",10
"1014","dime",40
"1015","dime",38
"1016","pgfl",13
"1017","dior",50
"1018","dior",55
"1019","pgfl",13
"1020","dior",60
"1021","dior",51
"1022","dior",40
"1023","dior",60
"1024","dior",56
"1025","pgfl",12
"1026","neal",96
"1027","dior",48
"1028","pgfl",12
"1029","dior",51
"1030","pmle",28
"1031","onar",34
"1032","dior",55
"1033","dior",52
"1034","pgfl",12
"1035","dime",49
"1036","neal",102
"1037","dime",46
"1038","neal",200
"1039","pmle",28
"1040","dior",45
"1041","neal",176
"1042","neal",178
"1043","dior",49
"1044","onar",36
"1045","dior",50
"1046","pgfl",12
"1047","dior",50
"1048","onle",33
"1049","dior",59
"1050","dior",50
"1051","dime",41
"1052","dior",56
"1053","onle",48
"1054","neal",133
"1055","dior",50
"1056","dior",51
"1057","dior",55
"1058","neal",140
"1059","dior",50
"1060","dior",54
"1061","neal",204
"1062","dior",45
"1063","onar",32
"1064","pgfl",10
"1065","dior",52
"1066","dime",48
"1067","pgfl",11
"1068","dior",50
"1069","dior",52
"1070","dime",42
"1071","dior",44
"1072","neal",164
"1073","onar",33
"1074","dior",50
"1075","neal",210
"1076","dior",47
"1077","onle",38
"1078","dior",43
"1079","dior",46
"1080","onle",38
"1081","onar",45
"1082","onar",30
"1083","dior",55
"1084","pgfl",12
"1085","dime",47
"1086","dior",46
"1087","dime",45
"1088","dior",55
"1089","pgfl",12
"1090","dior",50
"1091","dior",50
"1092","dior",52
"1093","neal",251
"1094","dior",50
"1095","onle",43
"1096","dime",41
"1097","onar",30
"1098","dior",52
"1099","neal",150
"1100","dime",46
"1101","onar",31
"1102","dior",48
"1103","dior",45
"1104","dior",51
"1105","pgfl",10
"1106","dior",51
"1107","dior",47
"1108","dior",50
"1109","onar",28
"1110","neal",78
"1111","neal",216
"1112","neal",108
"1113","pgfv",6
"1114","dime",47
"1115","pgfv",6
"1116","onar",28
"1117","dior",50
"1118","dior",57
"1119","dime",44
"1120","neal",160
"1121","pgfl",14
"1122","pmdi",18
"1123","dime",45
"1124","dime",45
"1125","dime",30
"1126","neal",220
"1127","neal",174
"1128","dior",46
"1129","neal",130
"1130","neal",142
"1131","neal",250
"1132","neal",186
"1133","remg",11
"1134","dime",44
"1135","neal",240
"1136","onar",32
"1137","neal",137
"1138","dior",48
"1139","dior",50
"1140","dior",45
"1141","dior",42
"1142","onle",41
"1143","dior",52
"1144","neal",198
"1145","pgfl",11
"1146","neal",190
"1147","dior",55
"1148","onar",31
"1149","neal",185
"1150","dior",50
"1151","neal",156
"1152","onar",34
"1153","pgfl",13
"1154","dior",50
"1155","pmtr",20
"1156","dior",60
"1157","disp",110
"1158","pgfl",12
"1159","pmtr",23
"1160","dior",52
"1161","pmle",30
"1162","neal",140
"1163","pgfl",10
"1164","spsp",130
"1165","remg",10
"1166","neal",160
"1167","dior",54
"1168","onle",29
"1169","dior",46
"1170","onar",32
"1171","dior",53
