"","species","weight"
"460","SOTR",5
"461","CLCA",26
"462","SOTR",4
"463","SOTR",4.5
"464","PEMA",11
"465","GLSA",146
"466","GLSA",140
"467","SOTR",5
"468","PEMA",23
"469","SOTR",4
"470","PEMA",19.5
"471","GLSA",167
"472","SOTR",4.9
"473","PEMA",18.5
"474","CLCA",21
"475","GLSA",91
"476","MIOR",10
"477","SOTR",4
"478","PEMA",23
"479","SOTR",4
"480","SOTR",4
"481","SCOR",52
"482","PEMA",9
"483","SOTR",4
"484","PEMA",24
"485","PEMA",13
"486","SCOR",49
"487","GLSA",85.5
"488","MIOR",17
"489","PEMA",10
"490","SOTR",4.5
"491","GLSA",89
"492","SOTR",4
"493","SOTR",4
"494","SOTR",4
"495","PEMA",9
"496","SOTR",5
"497","SOTR",5
"498","SOTR",4
"499","SOTR",3.5
"500","MIOR",16
"501","PEMA",9
"502","CLCA",20
"503","SOTR",4
"504","SOTR",5
"505","PEMA",18
"506","SOTR",4.5
"507","PEMA",11
"508","SOTR",5
"509","SOTR",5
"510","SOTR",5
"511","SOTR",4
"512","SOTR",4
"513","SOTR",4
"514","SOTR",5
"515","PEMA",9
"516","SOTR",5
"517","SOTR",4
"518","PEMA",10
"519","SOTR",4
"520","GLSA",145
"521","PEMA",9
"522","GLSA",141
"523","SOTR",4
"524","PEMA",9
"525","CLCA",14
"526","SOTR",4
"527","PEMA",8
"528","PEMA",9
"529","PEMA",11
"530","SOTR",4
"531","GLSA",131
"532","PEMA",9
"533","SOTR",4
"534","PEMA",17
"535","CLCA",13
"536","GLSA",127
"537","GLSA",107
"538","CLCA",21
"539","PEMA",30
"540","SOTR",5
"541","GLSA",102
"542","SOTR",5
"543","PEMA",13
"544","SOTR",4
"545","SOTR",4
"546","CLCA",25
"547","SOTR",4.5
"548","PEMA",9
"549","SOTR",4.5
"550","GLSA",109
"551","GLSA",97
"552","SCOR",68
"553","GLSA",97
"554","SOTR",4
"555","SOTR",4
"556","SOTR",5
"557","SOTR",4
"558","SOTR",5
"559","PEMA",11
"560","PEMA",20
"561","SCOR",55
"562","SOTR",5
"563","SOTR",4
"564","SOTR",5
"565","MIOR",21
"566","SOTR",4
"567","PEMA",16
"568","PEMA",26
"569","PEMA",23
"570","SOTR",3
"571","SOTR",4.5
"572","PEMA",14
"573","PEMA",9
"574","PEMA",21
"575","SOTR",4
"576","SOTR",4
"577","SOTR",5
"578","PEMA",12
"579","SOTR",4
"580","CLCA",18
"581","SOTR",4
"582","SOTR",5
"583","PEMA",16
"584","SOTR",4
"585","SOTR",5
