"","species","weight"
"918","dior",58
"919","disp",122
"920","pgfv",8
"921","pgfv",8
"922","pgfv",7
"923","pgfv",7
"924","pgfv",7
"925","pgfv",9
"926","dior",45
"927","dior",49
"928","pgfv",5
"929","dior",40
"930","pgfv",8
"931","pgfv",8
"932","pgfv",8
"933","pgfv",7
"934","disp",150
"935","pgfv",9
"936","dior",50
"937","pmle",19
"938","pgfv",7
"939","dior",51
"940","pgfv",8
"941","pgfv",8
"942","dior",50
"943","dior",52
"944","pgfv",8
"945","pgfv",9
"946","pgfv",8
"947","pgfv",8
"948","pgfv",7
"949","pgfv",7
"950","pgfv",7
"951","pgfv",6
"952","pgfv",6
"953","pgfv",7
"954","pgfv",6
"955","pgfv",7
"956","pgfv",6
"957","pgfv",6
"958","pgfv",6
"959","pgfv",6
"960","pgfv",8
"961","pgfv",8
"962","pgfv",6
"963","pgfv",8
"964","pgfv",9
"965","disp",127
"966","pgfv",5
"967","pgfv",6
"968","pgfv",8
"969","dior",52
"970","pgfv",6
"971","disp",56
"972","pgfv",7
"973","pgfv",11
"974","pgfv",5
"975","pgfv",6
"976","pgfv",6
"977","pgfv",7
"978","pgfv",9
"979","pgfv",8
"980","dior",42
"981","dior",49
"982","pgfv",4
"983","pgfv",9
"984","pgfv",8
"985","pgfv",6
"986","dior",51
"987","pgfv",8
"988","dior",54
"989","pgfv",8
"990","dior",42
"991","pgfv",5
"992","pgfv",6
"993","pgfv",8
"994","disp",102
"995","pgfv",8
"996","dior",43
"997","pgfv",5
"998","dior",55
"999","pgfv",7
"1000","pgfv",6
"1001","pgfv",7
"1002","pgfv",15
"1003","dior",43
"1004","dior",41
"1005","pgfv",10
"1006","dior",46
"1007","pgfv",6
"1008","dior",49
"1009","onar",20
"1010","dior",50
"1011","pgfv",6
"1012","disp",103
"1013","pgfv",5
"1014","pgfv",10
"1015","pgfv",6
"1016","pgfv",6
"1017","dior",38
"1018","pgfv",6
"1019","pgfv",6
"1020","pgfv",8
"1021","onar",23
"1022","pgfv",5
"1023","pgfv",9
"1024","pgfv",8
"1025","pgfv",9
"1026","pgfv",7
"1027","pgfv",8
"1028","pgfv",5
"1029","dior",51
"1030","disp",51
"1031","pgfv",8
"1032","pgfv",7
"1033","pgfv",8
"1034","pgfv",10
"1035","disp",130
"1036","pgfv",4
"1037","dior",46
"1038","pgfv",8
"1039","pgfv",7
"1040","dior",48
"1041","pgfv",7
"1042","pgfv",5
"1043","pgfv",10
"1044","dior",30
"1045","pgfv",7
"1046","dior",52
"1047","dior",46
"1048","spsp",230
"1049","pgfv",6
"1050","pgfv",9
"1051","pgfv",6
"1052","pgfv",7
"1053","pgfv",6
"1054","pgfv",5
"1055","disp",130
"1056","pgfv",8
"1057","dior",32
"1058","disp",47
"1059","pgfv",7
"1060","dior",49
"1061","dior",47
"1062","pgfv",7
"1063","pgfv",7
"1064","pgfv",8
"1065","pgfv",7
"1066","pgfv",7
"1067","dior",52
"1068","pgfv",7
"1069","pgfv",8
"1070","disp",120
"1071","disp",143
"1072","pgfv",7
"1073","pgfv",7
"1074","pgfv",7
"1075","pgfv",6
"1076","pgfv",7
"1077","pgfv",8
"1078","pgfv",7
"1079","dior",49
"1080","dior",44
"1081","onar",20
"1082","pgfv",6
"1083","onar",18
"1084","disp",150
"1085","pgfv",10
"1086","dior",54
"1087","pgfv",7
"1088","pgfv",7
"1089","pgfv",7
"1090","dior",51
"1091","pgfv",8
"1092","disp",135
"1093","pgfv",7
"1094","pgfv",7
"1095","pgfv",7
"1096","onar",19
"1097","disp",130
"1098","disp",141
"1099","dior",50
"1100","disp",130
"1101","pgfv",7
"1102","dior",55
"1103","pgfv",8
"1104","pgfv",7
"1105","pgfv",7
"1106","onar",21
"1107","disp",121
"1108","pgfv",6
"1109","pgfv",7
"1110","dior",52
"1111","dior",45
"1112","pgfv",7
"1113","pgfv",7
"1114","onar",18
"1115","pgfv",7
"1116","pgfv",8
"1117","pgfv",7
"1118","pgfv",7
"1119","dior",48
"1120","pgfv",7
"1121","pgfv",7
"1122","disp",148
"1123","disp",121
"1124","pgfv",7
"1125","pgfv",8
"1126","disp",130
"1127","pgfv",6
"1128","pgfv",8
"1129","pgfv",8
"1130","pgfv",7
"1131","pmle",30
"1132","pgfv",7
"1133","pgfv",6
"1134","dior",35
"1135","pgfv",7
"1136","pgfv",7
"1137","spsp",48
"1138","disp",114
"1139","pgfv",8
"1140","pgfv",7
"1141","disp",119
"1142","pgfv",8
"1143","pgfv",7
"1144","onar",21
"1145","pgfv",7
"1146","pgfv",7
"1147","pgfv",6
"1148","pgfv",7
"1149","disp",110
"1150","pgfv",7
"1151","onar",18
"1152","pgfv",7
"1153","pgfv",8
"1154","pgfv",8
"1155","disp",142
"1156","spsp",104
"1157","pgfv",8
"1158","pgfv",7
"1159","spsp",60
"1160","pgfv",8
"1161","pgfv",7
"1162","pgfv",5
"1163","pgfv",7
"1164","pgfv",8
"1165","pmle",15
"1166","pgfv",7
"1167","pgfv",7
"1168","pgfv",7
"1169","pmle",21
"1170","pgfv",7
"1171","pgfv",8
"1172","dior",49
"1173","onar",18
"1174","pgfv",8
"1175","pgfv",7
"1176","pgfv",6
"1177","pgfv",6
"1178","pgfv",6
"1179","pgfv",6
"1180","pgfv",7
"1181","spsp",49
"1182","disp",110
"1183","pgfv",7
"1184","onar",13
"1185","dior",49
"1186","spsp",98
"1187","pgfv",7
"1188","pgfv",7
"1189","pgfv",5
"1190","onar",16
"1191","pgfv",7
"1192","pgfv",7
"1193","pgfv",7
"1194","pgfv",8
"1195","dior",48
"1196","pgfv",7
"1197","pgfv",7
"1198","pgfv",8
