"","species","weight"
"635","dime",45
"636","pgfl",15
"637","dime",45
"638","nemi",130
"639","pgfv",7
"640","pgfv",9
"641","remg",14
"642","nemi",204
"643","onar",19
"644","pgfv",8
"645","remn",9
"646","dime",50
"647","pgfv",7
"648","neal",184
"649","remn",9
"650","dime",36
"651","neal",112
"652","spsp",84
"653","pgfv",9
"654","pmle",28
"655","pgfv",10
"656","pgfv",7.5
"657","dime",38
"658","pmle",32
"659","dime",42
"660","dime",42
"661","pgfv",5
"662","pgfv",8
"663","spsp",76
"664","dime",45
"665","dime",58
"666","remg",21
"667","onar",29
"668","pgfv",8
"669","dime",44
"670","dime",53
"671","pmle",20
"672","remg",12
"673","pmle",25
"674","dime",28
"675","dime",34
"676","pgfv",8.5
"677","neal",162
"678","neal",108
"679","neal",112
"680","pgfv",9
"681","remn",10
"682","pgfv",6
"683","dime",15
"684","neal",68
"685","pgfv",10
"686","remn",11
"687","pmle",16
"688","pmle",21
"689","pmle",27
"690","pmtr",21
"691","dime",34
"692","pmtr",18
"693","pmle",21
"694","pmtr",19
"695","dime",44
"696","pmtr",25
"697","onar",28
"698","pmtr",22
"699","pmtr",27
"700","pmtr",19
"701","onle",33
"702","dime",47
"703","dime",36
"704","dime",47
"705","pmle",23
"706","pmtr",26
"707","pmtr",20
"708","pmle",28
"709","dior",44
"710","pmtr",11
"711","pmtr",20
"712","dime",29
"713","pmtr",23
"714","dime",47
"715","dime",38
"716","dime",45
"717","dime",33
"718","pmtr",20
"719","dime",28
"720","remg",10
"721","remg",13
"722","pmtr",21
"723","dime",44
"724","neal",108
"725","dime",42
"726","dime",36
"727","dime",22
"728","pmle",24
"729","neal",180
"730","onar",29
"731","neal",100
"732","dime",42
"733","dime",30
"734","pmtr",20
"735","dior",55
"736","neal",110
"737","pmle",22
"738","pmtr",18
"739","onar",34
"740","dime",44
"741","dime",35
"742","remg",10
"743","pmle",27
"744","pmle",10
"745","pmle",20
"746","pgfv",7
"747","pmle",18
"748","dime",43
"749","dime",36
"750","pgfv",6
"751","dime",35
"752","onar",20
"753","dime",50
"754","neal",80
"755","pmle",16
"756","neal",180
"757","pgfv",7
"758","dime",50
"759","dime",45
"760","pgfv",7
"761","dime",38
"762","dime",46
"763","dime",44
"764","onar",10
"765","dime",32
"766","dime",41
"767","dime",44
"768","dime",44
"769","dime",43
"770","dime",28
"771","pgfv",8
"772","remg",8
"773","neal",80
"774","remg",10
"775","pmle",18
"776","neal",140
"777","remg",12
"778","dime",32
"779","pmle",27
"780","dime",45
"781","onar",22
"782","pmle",19
"783","pmle",24
"784","pmle",23
"785","remg",11
"786","dime",44
"787","dime",50
"788","dime",39
"789","dime",33
"790","pmle",27
"791","pmle",12
"792","pmle",17
"793","dime",40
"794","pmle",26
"795","pmle",22
"796","dime",35
"797","pmle",18
"798","remg",10
"799","dime",40
"800","dime",49
"801","dime",44
"802","remg",10
"803","dime",44
"804","dime",24
"805","dime",39
"806","dime",24
"807","dime",50
"808","pmle",20
"809","dior",50
"810","pmle",18
"811","dime",51
"812","dime",31
"813","pmtr",24
"814","neal",161
"815","onar",12
"816","remg",11
"817","pgfv",8
"818","remg",10
"819","dime",48
"820","remg",11
"821","dime",37
"822","pmle",18
"823","remg",11
"824","pmle",19
"825","onar",20
"826","pgfv",7
"827","dime",41
"828","dime",47
"829","remg",10
"830","dime",43
"831","pmtr",20
"832","pmle",9
"833","pmtr",25
"834","spsp",120
"835","pmtr",21
"836","pgfv",7
"837","pmle",22
"838","remg",9
"839","remg",11
"840","dime",38
"841","pmle",18
"842","onar",21
"843","remg",10
"844","dime",41
"845","pmtr",15
"846","pgfv",7
"847","remg",9
"848","dime",37
"849","neal",130
"850","onle",27
"851","pmle",15
"852","remg",9
"853","dior",44
"854","dime",47
"855","pgfv",7
"856","dime",32
"857","onle",37
"858","pmtr",28
"859","pmdi",22
"860","dime",49
"861","pmtr",30
"862","dior",47
"863","dior",44
"864","dior",44
"865","pgfv",5
"866","dime",50
"867","dime",30
"868","dime",56
"869","pmtr",25
"870","neal",120
"871","pmtr",23
"872","dime",47
"873","pmtr",23
"874","dime",49
"875","dime",56
"876","pgfv",8
"877","pgfv",9
"878","dime",41
"879","onar",35
"880","pmtr",29
"881","disp",106
"882","pmle",30
"883","dior",53
"884","dime",46
"885","dior",56
"886","pgfv",7
"887","dime",48
"888","pgfv",6
"889","pmle",29
"890","dime",29
"891","neal",170
"892","dime",37
"893","pgfv",7
"894","dime",41
"895","pmle",22
"896","pmle",20
"897","dime",48
"898","onar",21
"899","pmle",21
"900","neal",200
"901","dime",46
"902","dime",40
"903","pmtr",22
"904","spsp",110
"905","onar",32
"906","dime",49
"907","pgfv",9
"908","pgfv",7
"909","pgfv",7
"910","dime",37
"911","dime",49
"912","dime",43
"913","dime",32
"914","dime",44
"915","pgfv",6
"916","neal",118
"917","nemi",130
"918","pmtr",23
"919","pgfv",7
"920","pgfv",7
"921","pgfv",6
"922","pmle",20
"923","pmle",26
"924","dime",29
"925","pmle",24
"926","neal",142
"927","pmle",24
"928","pgfv",8
"929","pmle",25
"930","dime",38
"931","dime",43
"932","pmle",29
"933","dime",38
"934","dime",40
"935","pmle",24
"936","dime",38
"937","dime",46
"938","pgfv",8
"939","pmma",28
"940","dime",42
"941","pgfv",8
"942","dime",46
"943","remg",10
"944","pmtr",26
"945","pmtr",22
"946","pgfv",8
"947","remg",12
"948","dime",40
"949","pmtr",31
"950","pgfv",8
"951","pgfv",6
"952","neal",144
"953","pmtr",24
"954","pmtr",21
"955","neal",80
"956","onle",30
"957","dime",41
"958","pmle",29
"959","pmle",20
"960","pgfv",7
"961","sihi",72
"962","remg",14
"963","dime",47
"964","pmle",27
"965","dime",40
"966","neal",102
"967","nemi",110
"968","neal",260
"969","remg",12
"970","neal",174
"971","onar",31
"972","dime",44
"973","pmtr",27
"974","neal",280
"975","neal",100
"976","pgfv",7
"977","neal",138
"978","sihi",64
"979","dime",42
"980","dime",35
"981","pgfv",7
"982","neal",100
"983","dime",49
"984","dime",46
"985","pgfv",7
"986","pmle",25
"987","neal",104
"988","dime",52
"989","dime",39
"990","onar",28
"991","pmle",21
"992","remg",11
"993","dime",46
"994","neal",246
"995","dime",44
"996","dime",24
"997","dime",49
"998","pgfv",7
"999","pgfv",7
"1000","dime",43
"1001","onar",24
"1002","pgfv",8
"1003","pgfv",7
"1004","spsp",100
"1005","pmle",31
"1006","dime",38
"1007","dime",72
"1008","dime",48
"1009","pgfv",8
"1010","remn",10
"1011","spsp",120
"1012","dime",42
"1013","dime",45
"1014","dime",45
"1015","pmtr",19
"1016","dime",33
"1017","pgfv",8
"1018","dime",41
"1019","dime",50
"1020","dime",40
"1021","pmbo",12
"1022","onar",32
"1023","pgfv",9
"1024","dime",28
"1025","dime",37
"1026","dime",50
"1027","dime",25
"1028","dior",50
"1029","dime",45
"1030","dime",45
"1031","nemi",142
"1032","pgfv",9
"1033","dime",34
"1034","dime",35
"1035","dime",28
"1036","dior",63
"1037","dior",49
"1038","dime",37
"1039","dime",49
"1040","dime",48
"1041","dime",27
"1042","dime",47
"1043","spsp",87
"1044","pgfv",8
"1045","dime",51
"1046","dime",44
"1047","onle",23
"1048","dime",40
"1049","dime",32
"1050","dime",44
"1051","dime",47
"1052","dime",50
"1053","dime",52
"1054","dime",41
"1055","dime",39
"1056","dime",57
"1057","dime",45
"1058","dime",47
"1059","dime",37
"1060","pgfv",7
"1061","dime",40
"1062","onle",21
"1063","pgfv",8
"1064","dime",50
"1065","dime",26
"1066","onle",44
"1067","pmtr",25
"1068","dime",50
"1069","dior",33
"1070","dime",25
"1071","dime",41
"1072","pmle",27
"1073","dime",47
"1074","dime",41
"1075","pgfv",5
"1076","dime",42
"1077","dime",35
"1078","dime",43
"1079","pgfv",8
"1080","pgfv",8
"1081","dime",23
"1082","dime",40
"1083","dime",48
"1084","dime",30
"1085","onle",29
"1086","dime",32
"1087","dior",28
"1088","pmtr",14
"1089","dior",50
"1090","pmle",27
"1091","dime",41
"1092","dime",32
"1093","remg",11
"1094","pgfv",9
"1095","pgfv",6
"1096","dime",48
"1097","pgfv",11
"1098","pgfv",8.6
"1099","dime",26
"1100","onar",16
"1101","dime",42
"1102","dime",35.5
"1103","pgfv",7
"1104","dime",41
"1105","dime",41
"1106","dime",21
"1107","dime",43
"1108","dime",26
"1109","pgfv",7.5
"1110","dime",40.5
"1111","dime",38
"1112","dime",37.5
"1113","pgfv",6
"1114","onar",30
"1115","dime",41
"1116","dime",39
"1117","dime",21
"1118","dime",21.5
"1119","dior",63
"1120","dime",35
"1121","dime",35
"1122","dior",53
"1123","dime",38
"1124","dime",40
"1125","dime",40
"1126","dime",39
"1127","dime",40
"1128","pgfv",5
"1129","pgfv",8
"1130","onar",19
"1131","dime",40
"1132","dime",40
"1133","dime",47
"1134","pgfv",7
"1135","dime",42
"1136","dime",46
"1137","pgfv",7
"1138","pgfv",8
"1139","dime",47
"1140","dime",53
"1141","dime",43
"1142","dime",39
"1143","dime",44
"1144","dime",39
"1145","pgfv",6.5
"1146","dime",45
"1147","dime",34
"1148","dime",40
"1149","dime",41
"1150","dime",42
"1151","dime",23
"1152","dime",41.5
"1153","pgfv",8
"1154","nemi",134
"1155","dime",40
"1156","dime",40
"1157","dime",43
"1158","dime",39
"1159","dime",46
"1160","dime",40
"1161","dime",39
"1162","dime",23
"1163","dior",49
"1164","dime",34
"1165","dime",36
"1166","neal",111
"1167","pgfv",5
"1168","dime",36
"1169","dime",40
"1170","dime",45
