"","species","wgt"
"610","DM",44
"611","DM",17
"612","DS",122
"613","DS",95
"614","DS",87
"615","DM",27
"616","DM",40
"617","DM",43
"618","DS",106
"619","OT",22
"620","DM",46
"621","DM",34
"622","DM",39
"623","NA",113
"624","DS",120
"625","PP",10
"626","DM",47
"627","DM",35
"628","DM",45
"629","DM",47
"630","DM",39
"631","DS",132
"632","DM",45
"633","DS",120
"634","OL",29
"635","DO",33
"636","DS",106
"637","DM",24
"638","DM",29
"639","DS",131
"640","DM",37
"641","DM",32
"642","DS",119
"643","DS",123
"644","DS",105
"645","DS",100
"646","DS",130
"647","DS",88
"648","DS",136
"649","DS",70
"650","DS",165
"651","DM",31
"652","NA",199
"653","DM",47
"654","DM",35
"655","DM",34
"656","DS",96
"657","DS",83
"658","DS",82
"659","DS",119
"660","DS",88
"661","DS",137
"662","DS",115
"663","DM",43
"664","DS",100
"665","PF",6
"666","DM",40
"667","DS",98
"668","DS",122
"669","DM",36
"670","DM",39
"671","DM",40
"672","DS",139
"673","DM",17
"674","DS",126
"675","DM",43
"676","DM",36
"677","DS",108
"678","DS",120
"679","DS",95
"680","PP",18
"681","NA",189
"682","DM",44
"683","DS",105
"684","DM",32
"685","DM",39
"686","DM",41
"687","DM",34
"688","OL",29
"689","DS",123
"690","DM",36
"691","DM",43
"692","PE",19
"693","PE",14
"694","DM",37
"695","DS",123
"696","DM",50
"697","DM",44
"698","DO",38
"699","DS",138
"700","NA",149
"701","DM",33
"702","DS",112
"703","DM",41
"704","DM",36
"705","DM",30
"706","DM",36
"707","OL",17
"708","PP",13
"709","NA",179
"710","DM",45
"711","DS",115
"712","DS",123
"713","DS",124
"714","OT",20
"715","DS",138
"716","NA",197
"717","DS",158
"718","DM",41
"719","DM",42
"720","DM",47
"721","PE",20
"722","PP",19
"723","PE",17
"724","DM",39
"725","DS",118
"726","PF",6
"727","DS",77
"728","DS",125
"729","DM",37
"730","DM",39
"731","DM",49
"732","DS",140
"733","DM",38
"734","DS",126
"735","DS",106
"736","DM",46
"737","DS",106
"738","DS",114
"739","DO",45
"740","DM",43
"741","DS",122
"742","DO",54
"743","DM",40
"744","DS",134
"745","DM",40
"746","PF",8
"747","DS",133
"748","DM",43
"749","DS",100
"750","DM",41
"751","PF",7
"752","DS",114
"753","DS",126
"754","DM",45
"755","DM",30
"756","PP",14
"757","OT",24
"758","PP",13
"759","OT",20
"760","DS",110
"761","DM",41
"762","NA",158
"763","DS",107
"764","PP",19
"765","NA",189
"766","DM",31
"767","DS",124
"768","DS",100
"769","DM",37
"770","DM",47
"771","OL",36
"772","DS",86
"773","DS",112
"774","DM",38
"775","DM",40
"776","DM",47
"777","NA",118
"778","DM",47
"779","OL",33
"780","DM",46
"781","DS",122
"782","DM",52
"783","DM",49
"784","DS",136
"785","DM",44
"786","DS",107
"787","DS",134
"788","DM",38
"789","PE",16
"790","DM",39
"791","PF",8
"792","NA",181
"793","DS",127
"794","DS",110
"795","DS",128
"796","DS",125
"797","DS",120
"798","DM",38
"799","DS",125
"800","DM",51
"801","PF",6
"802","DS",149
"803","DM",39
"804","DM",42
"805","DM",36
"806","DS",115
"807","DS",120
"808","OT",20
"809","OT",19
"810","DS",131
"811","OT",25
"812","DM",46
"813","OT",25
"814","DS",110
"815","DM",38
"816","DS",102
"817","DM",45
"818","DS",118
"819","DO",50
"820","DS",129
"821","DM",35
"822","OT",18
"823","DM",41
"824","DS",129
"825","DS",132
"826","DS",98
"827","DM",37
"828","DS",99
"829","DM",45
"830","DS",108
"831","DM",45
"832","PP",15
"833","DO",45
"834","DS",118
"835","PF",6
"836","DM",38
"837","DM",41
"838","DM",41
"839","DM",40
"840","DS",120
"841","DM",37
"842","PF",7
"843","PP",20
"844","DS",106
"845","OL",24
"846","DM",37
"847","OL",34
"848","DM",37
"849","DS",121
"850","DM",45
"851","OL",30
"852","DM",41
"853","DS",134
"854","DM",42
"855","DS",121
"856","DM",48
"857","PF",7
"858","DS",113
"859","DS",112
"860","DS",135
"861","PP",16
"862","DM",39
"863","DM",41
"864","DM",35
"865","DS",131
"866","DS",112
"867","DS",124
"868","DM",39
"869","DS",133
"870","DS",125
"871","DM",39
"872","DS",130
"873","NA",218
"874","DM",38
"875","PE",22
"876","DM",41
"877","OT",23
"878","DM",36
"879","DS",111
"880","DM",38
"881","OT",22
"882","OT",28
"883","OT",21
"884","DS",132
"885","DM",43
"886","DM",41
"887","DM",36
"888","DS",111
"889","DM",37
"890","DS",105
"891","DS",124
"892","DO",54
"893","OL",28
"894","DM",37
"895","DO",45
"896","OT",24
"897","DM",42
"898","DM",38
"899","DS",126
"900","DS",136
"901","DM",39
"902","DS",101
"903","DM",39
"904","DS",108
"905","DM",37
"906","OT",23
"907","OL",33
"908","DM",45
"909","OL",28
"910","DM",39
"911","DS",116
"912","DM",32
"913","DM",42
"914","OT",22
"915","DM",45
"916","DM",40
"917","DS",107
"918","DM",40
"919","DM",37
"920","DM",45
"921","DS",121
"922","NA",153
"923","DM",43
"924","DS",120
"925","DM",40
"926","DS",137
"927","DO",45
"928","DM",49
"929","SH",89
"930","DM",37
"931","DS",119
"932","DS",121
"933","OL",37
"934","OL",26
"935","DM",41
"936","DM",38
"937","DS",130
"938","DS",129
"939","DM",37
"940","DM",38
"941","DM",42
"942","DM",46
"943","DM",38
"944","DM",40
"945","DM",43
"946","DM",49
"947","OL",38
"948","OL",32
"949","DS",118
"950","DM",37
"951","DS",142
"952","OT",26
"953","OT",21
"954","DS",113
"955","DS",111
"956","DM",42
"957","OL",36
